Scene_ID,Object_Name,View,Total_Keypoints,Good_Matches,Num_Inliers,Inlier_Match_Ratio,Inlier_Total_Ratio,Match_Ratio,Predicted_Detection,Actual_Detection
S4,batman,front,1033,69,17,0.2463768115942029,0.016456921587608905,0.06679574056147145,True,True
S4,camera,front,1252,102,13,0.12745098039215685,0.010383386581469648,0.08146964856230032,True,True
S4,vitamins,front,2154,92,8,0.08695652173913043,0.003714020427112349,0.04271123491179202,False,False
S4,nutella,front,6954,211,8,0.037914691943127965,0.0011504170261719873,0.030342249065286167,False,False
S4,book,front,1894,109,6,0.05504587155963303,0.0031678986272439284,0.05755015839493136,False,False
S4,mug,front,88,10,3,0.3,0.03409090909090909,0.11363636363636363,False,False
S4,peanut_butter,front,1485,99,9,0.09090909090909091,0.006060606060606061,0.06666666666666667,False,False
S4,bottle,front,94,8,3,0.375,0.031914893617021274,0.0851063829787234,False,False
S5,ornament,front,910,107,25,0.2336448598130841,0.027472527472527472,0.11758241758241758,True,True
S5,deodorant,front,2851,301,123,0.40863787375415284,0.043142756927393895,0.10557699052963872,True,True
S5,batman,front,1033,74,30,0.40540540540540543,0.02904162633107454,0.07163601161665054,True,True
S5,camera,front,1252,123,11,0.08943089430894309,0.00878594249201278,0.09824281150159744,False,True
S5,vitamins,front,2154,179,42,0.2346368715083799,0.019498607242339833,0.08310120705663882,True,True
S5,nutella,front,6954,228,12,0.05263157894736842,0.001725625539257981,0.03278688524590164,False,False
S5,book,front,1894,138,6,0.043478260869565216,0.0031678986272439284,0.07286166842661035,False,False
S5,mug,front,88,17,4,0.23529411764705882,0.045454545454545456,0.19318181818181818,False,False
S5,peanut_butter,front,1485,122,9,0.07377049180327869,0.006060606060606061,0.08215488215488216,False,False
S5,bottle,front,94,6,3,0.5,0.031914893617021274,0.06382978723404255,False,False
S6,ornament,front,910,102,14,0.13725490196078433,0.015384615384615385,0.11208791208791209,True,True
S6,deodorant,front,2851,243,88,0.36213991769547327,0.030866362679761488,0.08523325149070501,True,True
S6,batman,front,1033,89,17,0.19101123595505617,0.016456921587608905,0.08615682478218781,True,True
S6,camera,front,1252,104,9,0.08653846153846154,0.00718849840255591,0.08306709265175719,False,True
S6,vitamins,front,2154,153,41,0.2679738562091503,0.01903435468895079,0.07103064066852367,True,True
S6,nutella,front,6954,275,80,0.2909090909090909,0.011504170261719874,0.039545585274662065,False,True
S6,book,front,1894,164,18,0.10975609756097561,0.009503695881731784,0.08658922914466737,True,False
S6,mug,front,88,8,3,0.375,0.03409090909090909,0.09090909090909091,False,False
S6,peanut_butter,front,1485,56,6,0.10714285714285714,0.00404040404040404,0.03771043771043771,False,False
S6,bottle,front,94,9,4,0.4444444444444444,0.0425531914893617,0.09574468085106383,False,False
S7,ornament,front,910,49,6,0.12244897959183673,0.006593406593406593,0.05384615384615385,True,True
S7,deodorant,front,2851,140,57,0.40714285714285714,0.01999298491757278,0.049105576990529635,False,True
S7,batman,front,1033,68,8,0.11764705882352941,0.007744433688286544,0.06582768635043562,True,True
S7,camera,front,1252,77,9,0.11688311688311688,0.00718849840255591,0.06150159744408946,True,True
S7,vitamins,front,2154,117,27,0.23076923076923078,0.012534818941504178,0.054317548746518104,True,True
S7,nutella,front,6954,257,79,0.30739299610894943,0.011360368133448375,0.036957146965775095,False,True
S7,book,front,1894,322,172,0.5341614906832298,0.0908130939809926,0.1700105596620908,True,True
S7,mug,front,88,13,4,0.3076923076923077,0.045454545454545456,0.14772727272727273,False,False
